game_id,time,human_id,ai_id,condition,difficulty,confidence,comments,game,round,human_action,human_rt,ai_action,ai_rt,winner
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,26,fire,1028,grass,615.9286245,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,27,fire,739,water,2853.370614,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,28,grass,896,fire,2806.934587,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,29,grass,2835,grass,2234.112192,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,30,fire,1382,water,1401.702938,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,31,fire,943,fire,2566.675374,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,32,water,1005,fire,2087.529992,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,33,water,869,grass,887.3097031,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,34,fire,1749,water,1587.68619,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,35,fire,944,fire,1761.181497,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,36,grass,989,grass,1085.907651,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,37,grass,1047,water,965.4133028,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,38,water,1111,fire,2906.349965,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,39,fire,914,grass,2218.364822,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,40,fire,916,water,2882.707598,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,41,water,884,fire,794.8345884,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,42,water,851,grass,1657.733395,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,43,grass,1415,water,867.2977728,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,44,grass,1068,water,1141.573438,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,45,fire,1251,fire,927.4083558,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,46,fire,1216,grass,2390.190803,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,47,water,1380,water,510.2201882,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,48,grass,1411,fire,1760.039356,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,49,fire,998,grass,794.7592718,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,fwg,50,grass,1314,water,1702.247917,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,numbers,1,five,4203,one,1387.384658,ai
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,numbers,2,four,2139,three,2001.792613,human
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,numbers,3,three,1222,five,1967.701334,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,numbers,4,five,1119,two,2431.904375,tie
052a35fe-d4d9-4ace-8315-9d172b28bb7d,17/07/2018 20:47,38VxtUSv_h6RR5-tAAA2,x1X8V7V7JHjNMQNeAAA3,Level2,75,60,To be different each time and mix up or possibly copy my choices ,numbers,5,one,2170,four,2475.303756,tie
